"filename", "language", "JSON", "JavaScript", "SCSS", "comment", "blank", "total"
"c:\kamp\youtubeClone\youtube-clone\package-lock.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\kamp\youtubeClone\youtube-clone\package.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\kamp\youtubeClone\youtube-clone\src\App.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\kamp\youtubeClone\youtube-clone\src\components\comment\Comment.js", "JavaScript", 0, 2, 0, 0, 0, 2
"c:\kamp\youtubeClone\youtube-clone\src\components\comments\Comments.js", "JavaScript", 0, 18, 0, -1, 4, 21
"c:\kamp\youtubeClone\youtube-clone\src\components\header\Header.js", "JavaScript", 0, 10, 0, -2, -1, 7
"c:\kamp\youtubeClone\youtube-clone\src\components\sidebar\Sidebar.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\kamp\youtubeClone\youtube-clone\src\components\videoHorizontal\VideoHorizontal.js", "JavaScript", 0, 63, 0, 0, 6, 69
"c:\kamp\youtubeClone\youtube-clone\src\components\videoHorizontal\_videoHorizontal.scss", "SCSS", 0, 0, 5, 0, 0, 5
"c:\kamp\youtubeClone\youtube-clone\src\components\videoMetaData\VideoMetaData.js", "JavaScript", 0, 27, 0, 2, 6, 35
"c:\kamp\youtubeClone\youtube-clone\src\components\videoMetaData\_videoMetaData.scss", "SCSS", 0, 0, 3, 0, 0, 3
"c:\kamp\youtubeClone\youtube-clone\src\components\video\Video.js", "JavaScript", 0, 5, 0, 0, 0, 5
"c:\kamp\youtubeClone\youtube-clone\src\redux\actionType.js", "JavaScript", 0, 18, 0, 0, 8, 26
"c:\kamp\youtubeClone\youtube-clone\src\redux\actions\channel.js", "JavaScript", 0, 50, 0, 0, 6, 56
"c:\kamp\youtubeClone\youtube-clone\src\redux\actions\comments.js", "JavaScript", 0, 65, 0, 0, 6, 71
"c:\kamp\youtubeClone\youtube-clone\src\redux\actions\videos.js", "JavaScript", 0, 82, 0, 0, 7, 89
"c:\kamp\youtubeClone\youtube-clone\src\redux\reducers\channel.js", "JavaScript", 0, 43, 0, 0, 4, 47
"c:\kamp\youtubeClone\youtube-clone\src\redux\reducers\comments.js", "JavaScript", 0, 35, 0, 0, 4, 39
"c:\kamp\youtubeClone\youtube-clone\src\redux\reducers\videos.js", "JavaScript", 0, 97, 0, 3, 9, 109
"c:\kamp\youtubeClone\youtube-clone\src\redux\store.js", "JavaScript", 0, 12, 0, 0, 0, 12
"c:\kamp\youtubeClone\youtube-clone\src\screens\homeScreen\HomeScreen.js", "JavaScript", 0, -2, 0, 8, -2, 4
"c:\kamp\youtubeClone\youtube-clone\src\screens\searchScreen\Search.js", "JavaScript", 0, 29, 0, 3, 2, 34
"c:\kamp\youtubeClone\youtube-clone\src\screens\watchScreen\WatchScreen.js", "JavaScript", 0, 34, 0, 6, 2, 42
"Total", "-", 2, 588, 8, 19, 63, 680